Component,Origin,License
core,github.com/DataDog/datadog-go,MIT
core,github.com/davecgh/go-spew,ISC
core,github.com/docker/docker,Apache-2.0
core,github.com/hashicorp/hcl,MPL-2.0
core,github.com/magiconair/properties,BSD-2-Clause
core,github.com/mitchellh/mapstructure,MIT
core,github.com/moby/moby,Apache-2.0
core,github.com/pelletier/go-buffruneio,MIT
core,github.com/pelletier/go-toml,MIT
core,github.com/pmezard/go-difflib,BSD-3-Clause
core,github.com/spf13/afero,Apache-2.0
core,github.com/spf13/cast,MIT
core,github.com/spf13/jwalterweatherman,MIT
core,github.com/spf13/pflag,BSD-3-Clause
core,github.com/spf13/viper,MIT
core,github.com/stretchr/testify,MIT
core,golang.org/x/sys,BSD-3-Clause
core,golang.org/x/text,BSD-3-Clause
core,gopkg.in/yaml.v2,Apache-2.0
